scenario_id,需求总体系数,平均容量系数,平均电价系数,平均绿电系数,成本优先_现金成本_CNY,成本优先_调度碳代理_kgCO2,成本优先_位置法碳排_kgCO2,成本优先_市场法碳排_kgCO2,成本优先_任务完成率_%,成本优先_SLA满足率_%,协同_现金成本_CNY,协同_调度碳代理_kgCO2,协同_位置法碳排_kgCO2,协同_市场法碳排_kgCO2,协同_任务完成率_%,协同_SLA满足率_%,协同_绿电占比_%,协同_求解时间_s,相对成本优先_现金成本变化_%,相对成本优先_调度碳下降_%,相对成本优先_位置法碳排下降_%,相对成本优先_市场法碳排下降_%
33,0.890679860747245,0.9979037506226918,1.0167909327827014,0.9726333750627275,469.7885643269869,487.6436313196818,487.6436313196818,836.4932280771088,100.0,100.0,480.31518559652875,192.05366323289434,467.0240871452653,244.37361248577136,100.0,100.0,70.81735495653736,0.12461762400016596,2.2407146680171253,60.61598042136824,4.228404279292032,70.78594251772655
34,1.07582866194304,1.0095841756781465,0.9845851638281481,0.9762009322650479,615.7220435234686,687.3946642681008,687.3946642681008,1002.1505082908884,100.0,100.0,625.5648640160402,316.70166077954786,669.1009704274056,325.18778451612513,100.0,100.0,67.5639486085689,0.0473981269997239,1.5985817945133287,53.92724482132052,2.6613086763152634,67.55100338463983
35,1.0366822288970536,0.9951158382928822,1.0091709469702628,1.048395337343705,597.9260468805442,653.845591296797,653.845591296797,966.0312613642477,100.0,100.0,618.3018019817202,247.72173818617298,642.7968341569593,262.55437348633825,100.0,100.0,72.77225122299672,0.0510924790005447,3.4077383327719164,62.11311332774196,1.6898113693669254,72.82133777787337
36,0.8558970152068588,0.9911578931371712,0.9929423591758321,1.0119926417321314,440.14121027966763,492.3305054517715,492.3305054517715,796.562455397077,100.0,100.0,446.9184895652578,177.95520315477884,479.81375186549064,208.90473280352506,100.0,100.0,73.81477369468845,0.16475564099982876,1.5397965760315548,63.8545243115732,2.542347761854662,73.7742180304759
37,0.966186530759257,1.034076380508925,0.9951933689569858,1.0598405703175973,555.0144823773926,598.0709419105827,598.0709419105827,905.5020501319967,100.0,100.0,565.7992516682275,218.54361305680362,585.0145586953485,220.78893770211758,100.0,100.0,75.62388319911439,0.1373622709998017,1.9431509687168116,63.4585802883769,2.1830826914152843,75.61695882743359
38,0.9865631753575497,1.0290920153658865,1.0098114737935786,0.9366917796569759,566.0198602492927,625.051727373102,625.051727373102,917.845671929107,100.0,100.0,580.6618796282045,247.4138254112246,618.5401207394091,287.64061574431815,100.0,100.0,68.64242306287821,0.07707979599945247,2.586838449884595,60.417063968285,1.0417708404805504,68.6613311429838
39,0.94950394044147,1.0004666325925597,0.9829400778568843,0.9702093762317913,510.05148150308685,559.3528461201767,559.3528461201767,879.0622513462237,100.00000000000001,100.00000000000001,524.8035333616432,212.9826392576874,534.9037314214153,291.7365445408075,100.00000000000001,100.00000000000001,66.94620781809887,0.10225496500061126,2.8922672305711288,61.92338329285479,4.370964565273437,66.81275483118142
40,0.8920816342200838,1.009068818760709,1.0165598183690623,0.9511876834524081,484.8522678301362,501.2649741098198,501.2649741098198,834.386167942719,100.00000000000001,100.00000000000001,498.9029999148468,183.40378069073893,479.45146733277676,222.9749961637926,100.00000000000001,100.00000000000001,73.32196412075885,0.143139359000088,2.8979408815786245,63.41181008778047,4.351691800485545,73.27676263934663
41,1.0453746473645382,0.9781016987608282,0.967805368990925,1.0223371373558898,591.0807166916405,679.4958070525571,679.4958070525571,974.2860097723194,100.0,100.0,600.6661983743246,285.1486078371283,657.2751746509039,283.84395766694865,100.0,100.0,70.90404698864013,0.04115363199980493,1.6216874298209771,58.03526601966614,3.270164756135799,70.86646479371286
42,0.9358948030803825,0.9961185124355418,0.9788581904444777,1.0201993797579532,512.8421222176362,561.0237262419879,561.0237262419879,867.2240754150595,100.0,100.0,519.4513152984919,184.34056591697052,521.9238556438346,216.77055568033805,100.0,100.0,75.09603615631191,0.14238268600001902,1.2887383454923997,67.14210873900574,6.969379149089365,75.00408927455224
43,1.0564297103033238,0.9811366286963471,1.0136057841654098,0.9934891233999869,613.152296680541,670.8038304085179,670.8038304085179,977.0597061894945,100.0,100.0,623.3998021842268,266.3276488952173,657.36898828646,300.7836029227948,100.0,100.0,69.25599516349794,0.04214856500038877,1.671282250619195,60.297237907388755,2.002797466716336,69.21543268877166
44,0.8862837300757762,0.9961293279344343,1.0086719796338506,0.9428667327498157,487.3551914158967,500.3018517274218,500.3018517274218,826.2932336827213,100.0,100.0,488.76087313639516,171.3347401250932,485.855677041907,271.1867362360987,100.0,100.0,67.3329057595328,0.11689475500043045,0.2884306446833157,65.75372656856743,2.887491748358653,67.18032713066745
45,1.1489211984696839,0.9717389193958761,0.9921721624059306,0.9791928147569973,670.2765571947862,767.3791902313305,767.3791902313305,1071.4918347319424,100.0,100.0,684.7758785836836,359.4868976108955,763.2959235969221,400.8267461382033,100.0,100.0,62.54955193687925,0.041261395000219636,2.1631849172197524,53.15394238114194,0.5321054683770533,62.59171249415269
46,0.9564473080706993,1.0080680886721778,1.009232711195259,0.8992201540541358,551.1317722662578,579.4428748299914,579.4428748299914,886.3119059467031,100.0,100.0,556.8343654298566,227.1541062808216,557.0734111831847,287.42748433526793,100.0,100.0,67.706134065379,0.10765489900040848,1.0347059361411237,60.7978428680362,3.86051233322524,67.57039114483565
47,1.0625294789431017,1.0008919696337635,1.0286177797538445,1.095337196152033,628.9896128998873,691.2373517896567,691.2373517896567,985.4526947822718,100.0,100.0,645.8691006649389,266.18462106311165,681.2670916827482,260.78210713564675,100.0,100.0,73.53593661779703,0.05723782199947891,2.6835876807616112,61.491574439092005,1.442378667919914,73.53682134957634
48,1.12216134283212,1.0240160785352515,0.9859649654106877,1.0714636346262043,634.0866278806326,718.9231255676867,718.9231255676867,1043.4872761235993,100.0,100.0,646.7897851895319,306.8440434456598,705.1005103813503,306.7247429843337,100.0,100.0,70.62046680272178,0.055358899999191635,2.0033788366359806,57.3189354281287,1.922683343288142,70.605799418679
49,0.9539556956115395,0.9814949673069651,1.0191354567115618,0.9829696669120868,550.3198834205047,581.0228146378198,581.0228146378198,886.1328757173688,99.99999999999999,99.99999999999999,562.3383650301753,197.87627687898245,556.0835305713165,249.09079910604393,99.99999999999999,99.99999999999999,71.94889618988968,0.09165999299966643,2.1839082998364416,65.94345834727186,4.292307193143389,71.89013003220397
50,1.0337036322497775,0.9944242906233923,0.9888599888402385,0.9262567538506364,586.3405638168787,670.3845331557707,670.3845331557707,962.1324549129002,100.00000000000001,100.00000000000001,599.9961455475855,297.05729840454444,662.5033710309875,327.41917620129163,100.00000000000001,100.00000000000001,65.94162045619132,0.04380003400001442,2.3289505405891706,55.68852148092143,1.1756181318329844,65.96942816663095
